epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,572.252,0.87018,1.66316,1.64659,1.02337,0,0.28468,0.22944,0.16673,0.11931,0.28887,0.22834,0.16762,0.10877,0.93503,1.97982,2.09243,1.07507,0,2.3828e-05,2.3828e-05,2.3828e-05
90,858.572,0.86917,1.66293,1.62923,1.02194,0,0.28318,0.22978,0.16601,0.11893,0.29494,0.22496,0.16755,0.10851,0.9335,1.98426,2.09518,1.07487,0,2.19965e-05,2.19965e-05,2.19965e-05
91,973.049,0.87318,1.74452,1.71408,1.03078,0,0.26717,0.23054,0.15853,0.11213,0.27785,0.22777,0.15996,0.1017,0.94605,2.00291,2.11715,1.07981,0,2.0165e-05,2.0165e-05,2.0165e-05
92,1081.74,0.85595,1.68775,1.61188,1.01654,0,0.27617,0.22739,0.16075,0.11417,0.28278,0.22647,0.16229,0.10363,0.94265,1.99022,2.11448,1.07541,0,1.83335e-05,1.83335e-05,1.83335e-05
93,1190.44,0.84456,1.66683,1.5966,1.01358,0,0.27411,0.23122,0.16382,0.11676,0.27807,0.22978,0.16522,0.1062,0.93832,1.99072,2.11079,1.07353,0,1.6502e-05,1.6502e-05,1.6502e-05
94,1300.17,0.8444,1.66734,1.58791,1.01262,0,0.28142,0.23004,0.16549,0.11801,0.2881,0.22768,0.16686,0.10756,0.93892,1.99337,2.10978,1.07386,0,1.46705e-05,1.46705e-05,1.46705e-05
95,1410.03,0.84666,1.67221,1.57565,1.01136,0,0.2737,0.23661,0.16432,0.11733,0.2788,0.23285,0.16655,0.1073,0.93783,1.99147,2.10703,1.07451,0,1.2839e-05,1.2839e-05,1.2839e-05
96,1519.43,0.83989,1.65255,1.57112,1.00904,0,0.27747,0.23312,0.16431,0.11713,0.28414,0.23172,0.1667,0.1071,0.93732,1.98095,2.10875,1.07283,0,1.10075e-05,1.10075e-05,1.10075e-05
97,1628.05,0.84009,1.6583,1.5546,1.0079,0,0.27377,0.23269,0.16384,0.11711,0.2848,0.22861,0.16634,0.10708,0.93503,1.98463,2.11004,1.07154,0,9.176e-06,9.176e-06,9.176e-06
98,1740.43,0.84046,1.64834,1.55308,1.00748,0,0.27181,0.23491,0.16453,0.11731,0.27963,0.23166,0.16629,0.1072,0.9368,1.98981,2.11084,1.07291,0,7.3445e-06,7.3445e-06,7.3445e-06
99,1854.3,0.84334,1.65324,1.55126,1.00949,0,0.27607,0.23311,0.16507,0.11765,0.28461,0.22853,0.16681,0.10733,0.93784,1.98858,2.10742,1.07302,0,5.513e-06,5.513e-06,5.513e-06
100,1966.04,0.83479,1.64148,1.54931,1.00554,0,0.27921,0.233,0.16504,0.11779,0.2843,0.23008,0.16695,0.10757,0.93705,1.98721,2.10783,1.07319,0,3.6815e-06,3.6815e-06,3.6815e-06
